username,following,followers,totaltweets
gerel0991,12111,15552,18645
enhbatad,1115,3427,18500
PurevsurenL,202,9603,18201
Mukhbaatar_ts,3641,1760,17911
e_gereltod,3623,3659,17910
S_Otgonbaatar,4989,5554,17753
SukhbaatarMyag1,285,325,17714
Altangunii,894,3558,17399
B_Munkhtselmeg,5597,15236,17234
Begz_Ankhbayar,4992,4292,17150
MunkhOdBaasando,976,1205,17128
MTsend,5000,2030,17083
amaraa12n,4949,6645,17069
narmandakh_e,3866,10986,16786
boloroo1991,2606,2430,16774
Nomingerel,1461,21934,16757
GanzorigBor,7805,13036,16490
nasaachan,344,3159,16415
suhbold,780,16086,16316
Gantulga_S,2179,6388,16069
AnxSolar,1246,2663,15933
tulgaa20,49,621,15904
itsaku,480,1309,15660
MBBontoi,2758,4395,15220
baatarjav_g,1500,1383,15211
hidden0_0,6572,9479,15156
altantulga_b,3548,3288,15053
Malenuushka21,2322,1722,14911
Bayarkhuuk,3064,3158,14853
GGanErdene,590,2348,14427
uundaa,727,10616,14356
b_nar0207,2611,8890,14214
Byambagerel1,3248,17908,14207
uUreE_aUr,404,2512,14193
gegee55,2855,4828,14132
ardiinkhu,7045,12998,14061
Naidalaa,6038,28540,13998
Bayarabb,1907,2879,13991
tserendavaa,455,2231,13834
EnkhjinEnh,4362,6570,13740
ADelgersaikhan,7115,12893,13702
ebomandakh,1023,860,13692
Ambaselmaa11,3420,11645,13575
erelhegHongldon,6410,5860,13558
superdoloogch,850,723,13512
Chuluunbat201,8514,8452,13438
Jambaa_M,1238,1017,13358
Anhbayar_Ts,545,888,13315
NMisheel,5333,10382,13271
Khaliun12244459,2306,2174,13109
Batzul83247956,589,870,13001
bdrchn,5599,10038,12912
batbold47,2491,2716,12888
Ok_Tuya,3662,2778,12874
gantugsshagdar,1479,967,12839
elkhaan,1167,593,12750
TuvshinD,1130,660,12652
Bayaraa_SY,1421,1856,12468
Ganbaa_L,4420,2790,12340
GTsolmonbaatar,596,2023,12214
1237goldenhorde,833,938,12212
Pagi_D,1458,1987,12196
BbDuuya,994,1037,12057
dropmires,1106,5500,11679
KhGankhuyagMN,1042,11548,11545
b_chimgee,4084,7286,11471
igoristhepurest,734,1358,11402
tserenpuntsagt,1170,1100,11393
n_ankh,1029,494,11372
KhulanJ,4935,9578,11184
erdenebold,1884,17686,11099
tulgagmg,1064,1051,10994
nomadic_o,765,949,10922
loggnom,3838,2490,10881
ochir_alimaa,5005,8498,10849
mongol_com,6821,14844,10640
onon92373646,881,839,10514
nganbaa,1610,3696,10441
enkhsanaab,2826,1359,10318
narankhuu_L,569,1042,10305
ganaachan,6484,7787,10204
tulga928,1051,1167,10068
Khulgun_N,5956,5820,9904
DTserendamba,930,1212,9864
poojyee,1719,1712,9825
Eskomaral,6113,6263,9640
tuvshinbayar_mn,2306,2178,9550
EnkhjinPurev,831,1698,9545
tsatsral,1029,642,9451
UNDPMongolia,215,10825,9316
RS52020,1359,1369,9165
TKhangerel,3072,2348,9135
lhagvs,2064,2750,8973
baigalimaa_jigj,1335,1031,8969
MongoljingooCc,1104,6232,8827
TuguldurBaatar,1268,6500,8824
Xa3aaap,4297,4597,8735
BiMongolErKhun,4991,1091,8646
commiealkie,2499,2779,8621
iganzo,799,7098,8559
KhulanTsog,4691,8724,8524
munkhnyam_ch,483,1312,8524
KatyaBlt,582,1472,8101
Bat_Tuvshuntur,724,573,8043
khb_03,1148,2026,7930
LindaLucky99,4274,2545,7741
enkhtaivan_9,395,1274,7700
dbsgln,582,1684,7656
EeMcaf,3695,2199,7490
chimeddorjm,333,12406,7417
UnurzayaB,1325,3970,7392
BBatsukh,17009,20773,7313
gereltod4328,1597,1749,7212
Huyag2,3797,3683,7052
2104Ganbat,1365,938,7013
Davaa77,3149,2842,7001
ochirsahiust,1219,898,6991
ts_ariya,654,424,6968
iheenee,4568,8285,6912
shuvuuchin,2058,1680,6892
eebilgee,2028,1672,6840
zorigoo_n,1075,1284,6799
mukhit,242,733,6788
BattsengelTs,1170,1042,6779
lamarsaikhan,1948,1039,6677
sartagtai,2915,2133,6545
Od27154278,1327,1087,6413
gantumur0040,1702,1176,6403
batnasan14,613,267,6358
MRisbek1,2588,2838,6335
www_gnz,1644,1170,6325
Gerlee91yahooc1,1102,747,6321
nbazarsad1,800,875,6318
Nyambayar_JAMA,726,690,6315
PNyamdavaa1,5002,2587,6156
davaadorj_tl,1993,1409,6148
erdenezaan,3144,22461,6136
TsogooT,685,639,6058
bsglnb,266,181,6042
Selenge15594345,2021,1316,6009
DavaasurenG,1541,1924,5998
Odbayar1206,487,4186,5955
Zulashii,2255,2612,5955
Tsolmonbaaatar,3575,3517,5937
bat_otgon_b,771,1381,5869
genieinub,1835,1397,5798
GantulgaaD,6871,6292,5662
javhaad,1392,2103,5615
se_amgaa,680,1194,5608
nomin8092,2671,3576,5554
baajaatm3380,717,418,5508
MicaMongol,2863,10042,5482
KhKhurelbaatar,4915,4931,5469
HureltTumur,224,2028,5460
BatbayarBS,721,605,5400
BoIdkhuu,2329,2922,5292
MunkhbatAmar,828,381,5259
bsound11,5569,5246,5256
enkh_n,2406,3135,5243
BenBodza,157,140,5194
amarzhargal,2137,2387,5112
dudulmaa34,1483,935,5100
Shoogii12,3308,3015,5094
dtsogto,420,431,5087
ceden_enkhee,1064,521,5048
nyamdoctor5,4187,4192,5039
molomtoin,461,186,4984
GeserCa,924,705,4934
RMBBRM,2249,2700,4933
Anu_Pro02,1824,1837,4917
enkhmaa03,1064,811,4834
bezolboo,11752,17072,4683
sanjaachinsanaa,3072,1503,4674
mdbyambaa,5173,4715,4646
Happyzolood,1842,3880,4640
Zoljargal_S,561,1800,4606
erka_my,906,477,4584
tagtaa_io,3924,10998,4543
madiimaa,1236,1579,4538
ariunbold19,985,510,4527
SBatmunkh,1032,1722,4482
Esuu146,772,595,4479
khbayaraa,4083,1890,4476
ganaa0608,4028,7181,4472
galgolomt,536,215,4385
bulganbay,319,4596,4368
bigunoMN,4527,4777,4332
ankhaa_ccc,997,709,4119
Error7004,5868,5652,4054
zuugi_d,669,306,4028
batorgil_b,788,855,3990
UuganbayarTtm,534,298,3939
huviinumch,4975,2880,3910
doogii76,2989,2889,3882
Sheepskin17,3591,1135,3818
BayasgalanHdr,7005,7521,3817
Gan_Oyuka,823,3568,3794
GShunhat,225,317,3759
Gvnjidmaa,4967,3130,3753
Tulgaa007,951,1117,3710
Better_Mongol,1914,1061,3685
sirzaka,2965,1809,3681
sukh960,1292,1429,3680
BatkhuyagB,1755,1030,3632
gunlbat,1340,10594,3607
Ariun_D,433,247,3589
Shalom_zoloo,430,668,3584
DkNyambayar,4813,2599,3552
jargalan_,1738,1436,3552
unurildino,2700,1489,3523
nmnrdn,2938,1782,3501
Batzuld,443,672,3487
Battsog_B,993,479,3443
Buuveikhuu,657,907,3428
tuguldur,589,362,3377
ganboldtordai,685,10493,3362
buya_vol,488,712,3317
ezo88651,89,118,3281
Haliun,240,390,3265
OdmaaPetra,172,402,3265
dagagch,874,928,3251
SainiigDagiya,265,249,3240
Anuhorol,1449,3020,3230
Enkhbayar2017,396,84,3219
Zolzaya_E,1401,1456,3209
hosoo_sh,1473,1525,3200
p_tuul,5001,2704,3132
pureve,377,518,3111
Mongolia_Tour,1122,1272,3083
mongoliadrpf,2049,1280,3078
JargalMng,2162,2118,3004
DornodK,83,29,2983
jina_j21,1420,1803,2973
AltanBat,799,736,2950
ayushdunkhuu,222,1573,2846
Bayartbileg,149,500,2824
Byambas80389503,3907,1899,2784
SukhbatG,872,648,2757
tsdulmaa1,737,744,2746
PBulgantamir,4102,1937,2744
Turuunuuu,2892,1209,2733
bayar320,1732,1216,2685
SSuvdan,328,420,2680
olzii1220,1386,1296,2659
Amarbayar,159,405,2579
Tanhai_Emee,714,133844,2563
happy2061396833,1609,938,2530
binderebnid,833,1668,2520
BaagiiShonkhor,1456,1192,2516
tsenguunkino,1044,952,2449
MZLfashion,1225,2301,2425
Ganbolde99,1164,682,2395
hoso_bayar,546,355,2353
monoko7,2027,1181,2347
BayaAltangerel,961,382,2345
Xkpk143hIxppgi3,615,401,2339
ne_bayar,3308,2351,2331
SSukh5,2191,1433,2324
Naranbat,300,738,2298
dracojig,1646,1190,2297
enduusheee,781,746,2284
bata_mj,719,597,2280
Sainbats,1415,1050,2205
WWFMongolia,3741,2679,2200
faNTastic4LiFe,1696,756,2176
BayanzulB,481,288,2168
Chinzo_Angler,6244,6352,2123
Davandai,919,803,2070
Bataa_39,2667,985,2036
Namsrai1,845,473,2031
aldarbayar_s,4830,3212,2031
otgo_d,1615,1581,2011
anar0906,615,426,1945
Amaraak2,358,294,1920
tuvshinot,1637,1942,1785
MrBgii1,2248,2237,1766
ganjiguur2,468,535,1742
queenly_1227,446,290,1728
Khuujgii_Mn,1767,1244,1604
EeneEesEef,1713,983,1602
Sumyadavaa369,1165,1148,1567
enkhbatbatmunk2,665,339,1504
Tumur1,3215,3369,1478
tegsh2000,2676,2289,1473
BagueEnkhotgon,733,499,1465
AriunmaaB,261,369,1450
pocussev,1489,332,1445
NarangerelBk,735,709,1427
AltansuhGold,1534,1009,1419
Erdenebaatard,615,588,1419
Tuvshin0111,242,195,1412
Ariunbold__A,542,339,1400
Tanhai__Emee,13239,19467,1354
handaa42002,295,301,1326
Intermed_mn,2281,1279,1281
Langtsedev,151,50,1254
Selenge_1124,471,1282,1245
S_ganbaatr99,559,1161,1233
ultrahighrisk,840,1734,1217
Tumenja45798195,500,220,1211
ganbaa421,805,543,1200
namnandorj5,466,366,1171
baatar43212716,4004,2177,1164
MNtuurgatan,516,18510,1160
batkhuyagbzgma1,609,491,1158
Nanzaddorj14,1047,309,1082
enkhtuya2712,888,867,1053
Dechmaa,1085,444,1038
bulgiindarga,1417,475,1010
bold2636,1248,1164,984
ChimSchim71,464,88,945
jargalsaihanBNN,839,1631,929
__Dash_nom__,5765,6361,916
batduulga4,1511,1517,895
sodnomba,897,476,885
obatsaikhan1,584,376,861
bolorchuluun91,555,266,853
GanaaGINA,674,494,826
dulguuun_,1384,3516,806
g_ochiro,170,179,791
tumee88,181,197,756
doogidoogi8,183,94,751
tsatsral55,405,269,740
Altaabatsukh,4996,2182,719
Gegee_7,498,494,707
tuuchii1,308,199,700
shelby1088,1351,860,670
enkh1206,762,207,659
heegii44,869,348,613
undralnyamosor,287,3661,590
ShirendevD,3739,2042,584
Ardourb,330,189,569
Tuyago2,294,153,562
Btuya7,729,359,541
Bayarkhuuerden1,196,113,523
manlai_ml,1397,554,516
baatarenkh,158,186,513
gakaaaa,2818,837,490
hasar_2002,167,159,489
Batka_ps,72,57,474
SolongooBayars1,458,1155,465
Batbolorjargal,251,132,451
AnchinJuly,332,186,443
chaltansukh,873,285,432
YYP_Tso,569,366,428
Lobdoo,1181,643,400
Bambuu17924757,134,74,377
khash_l,34,24,373
Galbingaaa,133,167,363
GanzorigMamba,185,170,362
govihangai,193,151,321
SOSOSO23899831,90,52,314
ZayaPh,408,427,299
Byambajaw_66,1030,379,298
Otgondorj,444,210,274
thongoro0211,397,265,219
EnkhtuvshinTs,1265,629,194
TOM22839647,826,347,190
mongolamar,218,48,188
daulyetjan,568,225,184
Dodonbainoo,894,363,171
Ariuka35140734,2320,2360,136
javhlan_tuvshin,558,243,129
erEav8aZ9EKsPs7,405,181,104
bmqn68,2037,721,93
NaraEbat,643,560,90
AchitBaigalmaa,71,48,89
onongolian,186,598,83
oyund1122yahoo1,306,108,83
khulanbattomor,521,270,81
N_Enkhtsetseg,162,87,75
BatuushBatU,863,323,73
khangal79,395,224,71
nrngrlb,572,97,68
vllcpBnDpC93Uor,690,651,67
QEtd7oDP6VoOmyi,140,85,64
p63tlEqmZ748XMP,299,159,62
LundaaBaasanjav,109,39,39
pujee_b,159,116,38
GanzorigGanzoo1,128,36,35
N4VEXolCetJhpZz,87,40,24
delgermurun_,375,203,24
Zacc02020,228,106,20
Farida59483183,201,18,18
BatbuyanGanbold,59,11,15
ganbold55257502,6,1,15
Otgon60972677,287,65,9
