,username,following,followers,totaltweets
398,baigalimaa_jigj,1335,1031,8969
399,BatkhuyagB,1755,1030,3632
400,Jambaa_M,1238,1017,13358
401,AltansuhGold,1534,1009,1419
402,bantan_ch,385,988,23573
403,Bataa_39,2667,985,2036
404,EeneEesEef,1713,983,1602
405,gantugsshagdar,1479,967,12839
406,tsenguunkino,1044,952,2449
407,nomadic_o,765,949,10922
408,2104Ganbat,1365,938,7013
409,happy2061396833,1609,938,2530
410,1237goldenhorde,833,938,12212
411,TuvshinBJ,1317,938,30577
412,dudulmaa34,1483,935,5100
413,dagagch,874,928,3251
414,Buuveikhuu,657,907,3428
415,ochirsahiust,1219,898,6991
416,Anhbayar_Ts,545,888,13315
417,kh_myagmar,838,878,19936
418,nbazarsad1,800,875,6318
419,Batzul83247956,589,870,13001
420,enkhtuya2712,888,867,1053
421,ebomandakh,1023,860,13692
422,shelby1088,1351,860,670
423,batorgil_b,788,855,3990
424,onon92373646,881,839,10514
425,Ghanafreestyle1,982,838,33879
426,gakaaaa,2818,837,490
427,baterdenerka,1577,836,19372
428,enkhmaa03,1064,811,4834
429,Davandai,919,803,2070
430,ganzorigt,156,803,34898
431,faNTastic4LiFe,1696,756,2176
432,HeleMede,40,756,57478
433,Gerlee91yahooc1,1102,747,6321
434,enduusheee,781,746,2284
435,tsdulmaa1,737,744,2746
436,Naranbat,300,738,2298
437,AltanBat,799,736,2950
438,mukhit,242,733,6788
439,superdoloogch,850,723,13512
440,bmqn68,2037,721,93
441,buya_vol,488,712,3317
442,NarangerelBk,735,709,1427
443,ankhaa_ccc,997,709,4119
444,GeserCa,924,705,4934
445,Nyambayar_JAMA,726,690,6315
446,Ganbolde99,1164,682,2395
447,Batzuld,443,672,3487
448,idermn,52,671,88745
449,Shalom_zoloo,430,668,3584
450,TsogtNyamsuren,890,665,21747
451,TuvshinD,1130,660,12652
452,vllcpBnDpC93Uor,690,651,67
453,SukhbatG,872,648,2757
454,Lobdoo,1181,643,400
455,tsatsral,1029,642,9451
456,TsogooT,685,639,6058
457,EnkhtuvshinTs,1265,629,194
458,tulgaa20,49,621,15904
459,BatbayarBS,721,605,5400
460,bdavaa,348,598,19971
461,onongolian,186,598,83
462,bata_mj,719,597,2280
463,Esuu146,772,595,4479
464,elkhaan,1167,593,12750
465,Erdenebaatard,615,588,1419
466,Bat_Tuvshuntur,724,573,8043
467,NaraEbat,643,560,90
468,manlai_ml,1397,554,516
469,TsBatsukh,1101,549,22654
470,ganbaa421,805,543,1200
471,ganjiguur2,468,535,1742
472,ceden_enkhee,1064,521,5048
473,pureve,377,518,3111
474,ariunbold19,985,510,4527
475,Bayartbileg,149,500,2824
476,BagueEnkhotgon,733,499,1465
477,GanaaGINA,674,494,826
478,Gegee_7,498,494,707
479,n_ankh,1029,494,11372
480,batkhuyagbzgma1,609,491,1158
481,Battsog_B,993,479,3443
482,erka_my,906,477,4584
483,sodnomba,897,476,885
484,bulgiindarga,1417,475,1010
485,Namsrai1,845,473,2031
486,Dechmaa,1085,444,1038
487,dtsogto,420,431,5087
488,ZayaPh,408,427,299
489,anar0906,615,426,1945
490,ts_ariya,654,424,6968
491,SSuvdan,328,420,2680
492,baajaatm3380,717,418,5508
493,Amarbayar,159,405,2579
494,OdmaaPetra,172,402,3265
495,Xkpk143hIxppgi3,615,401,2339
496,Haliun,240,390,3265
497,byambajavm,59,383,25114
498,BayaAltangerel,961,382,2345
499,MunkhbatAmar,828,381,5259
500,Byambajaw_66,1030,379,298
